#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
UTX.N,20110714,,End Of Day (from Real-Time),88.16,89.14,87.61,87.82,923823
UTX.N,20110715,,End Of Day (from Real-Time),88.17,88.58,87.63,88.32,1612273
UTX.N,20110718,,End Of Day (from Real-Time),88.08,88.09,86.82,87.62,933117
UTX.N,20110719,,End Of Day (from Real-Time),87.98,89.55,87.94,88.82,1262585
UTX.N,20110720,,End Of Day (from Real-Time),87.22,87.5,85.69,87.22,1613025
UTX.N,20110721,,End Of Day (from Real-Time),88.26,89,87.81,88.21,1485470
UTX.N,20110722,,End Of Day (from Real-Time),88.73,88.8,87.67,87.7,1192683
UTX.N,20110725,,End Of Day (from Real-Time),86.76,87.87,86.3,87.32,995957
UTX.N,20110726,,End Of Day (from Real-Time),87.18,87.18,85.61,86.18,1366904
UTX.N,20110727,,End Of Day (from Real-Time),85.37,85.44,83.52,83.74,1664620
UTX.N,20110728,,End Of Day (from Real-Time),84.09,84.36,82.82,82.92,1039861
UTX.N,20110729,,End Of Day (from Real-Time),81.91,83.73,81.51,82.84,1484612
UTX.N,20110801,,End Of Day (from Real-Time),83.3,83.82,81.25,82.34,1291956
UTX.N,20110802,,End Of Day (from Real-Time),81.69,82.13,78.93,78.93,1873431
UTX.N,20110803,,End Of Day (from Real-Time),78.9,79.47,77.65,79.31,1881589
UTX.N,20110804,,End Of Day (from Real-Time),78.1,78.41,74.23,74.37,2746888
UTX.N,20110805,,End Of Day (from Real-Time),75.37,76.04,72.66,74.14,3268246
UTX.N,20110808,,End Of Day (from Real-Time),72,73.34,69.71,69.74,3249027
UTX.N,20110809,,End Of Day (from Real-Time),68,71.59,67.13,71.57,3356220
UTX.N,20110810,,End Of Day (from Real-Time),70.22,70.22,67.22,67.44,2987812
UTX.N,20110811,,End Of Day (from Real-Time),67.73,70.65,67.23,69.74,2626674
UTX.N,20110812,,End Of Day (from Real-Time),70.5,72.56,69.82,72.45,2417810
UTX.N,20110815,,End Of Day (from Real-Time),73.15,73.67,72.21,73.54,2411465
UTX.N,20110816,,End Of Day (from Real-Time),72.7,73.88,72,72.55,1563568
UTX.N,20110817,,End Of Day (from Real-Time),72.62,72.92,71.49,72.05,1171222
UTX.N,20110818,,End Of Day (from Real-Time),69.95,69.99,67.46,68.12,2721890
UTX.N,20110819,,End Of Day (from Real-Time),67.23,69.05,67.2,67.45,2927300
UTX.N,20110822,,End Of Day (from Real-Time),68.93,69.08,67.17,67.68,1540835
UTX.N,20110823,,End Of Day (from Real-Time),68.13,69.93,67.83,69.93,2023344
UTX.N,20110824,,End Of Day (from Real-Time),69.68,71.59,69.5,71.41,1487026
UTX.N,20110825,,End Of Day (from Real-Time),71.83,72.61,70.42,70.75,2605384
UTX.N,20110826,,End Of Day (from Real-Time),70.31,72.04,68.87,71.56,1438197
UTX.N,20110829,,End Of Day (from Real-Time),72.89,74.01,72.64,73.87,1083602
UTX.N,20110830,,End Of Day (from Real-Time),73.62,74.33,73.32,73.76,1272647
UTX.N,20110831,,End Of Day (from Real-Time),74.42,75.33,73.81,74.25,1623429
UTX.N,20110901,,End Of Day (from Real-Time),74.32,75.26,72.97,73.05,1204486
UTX.N,20110902,,End Of Day (from Real-Time),71.45,71.86,70.67,71.04,1361578
UTX.N,20110906,,End Of Day (from Real-Time),68.62,70.66,68.59,70.5,1245346
UTX.N,20110907,,End Of Day (from Real-Time),71.72,72.97,71.48,72.96,1181853
UTX.N,20110908,,End Of Day (from Real-Time),72.45,73.44,72.29,72.63,1148797
UTX.N,20110909,,End Of Day (from Real-Time),71.6,71.92,70.12,70.53,1411946
UTX.N,20110912,,End Of Day (from Real-Time),69.65,71.22,69.24,71.13,1337378
UTX.N,20110913,,End Of Day (from Real-Time),71.27,72.73,70.7,72.45,1138859
UTX.N,20110914,,End Of Day (from Real-Time),72.81,74.75,71.29,73.68,1184716
UTX.N,20110915,,End Of Day (from Real-Time),74.61,75.7,74.32,75.61,1229949
UTX.N,20110916,,End Of Day (from Real-Time),76,76.24,74.72,75.5,4618624
UTX.N,20110919,,End Of Day (from Real-Time),74.44,75.88,73.86,75.55,1295692
UTX.N,20110920,,End Of Day (from Real-Time),76.11,76.94,74.96,76.01,1648005
UTX.N,20110921,,End Of Day (from Real-Time),75.91,77.58,74.85,74.87,1819856
UTX.N,20110922,,End Of Day (from Real-Time),69.98,70.49,67.32,68.31,3033174
UTX.N,20110923,,End Of Day (from Real-Time),68.66,69.73,68.35,68.92,1767449
UTX.N,20110926,,End Of Day (from Real-Time),70,71.71,69.14,71.55,1682435
UTX.N,20110927,,End Of Day (from Real-Time),73.55,74.85,72.36,73.15,1416158
UTX.N,20110928,,End Of Day (from Real-Time),73.53,74.26,71.65,71.85,1433021
UTX.N,20110929,,End Of Day (from Real-Time),73,73.3,70.92,72.42,1211334
UTX.N,20110930,,End Of Day (from Real-Time),70.52,71.98,70.04,70.36,1945067
UTX.N,20111003,,End Of Day (from Real-Time),69.81,70.91,69.06,69.36,1560969
UTX.N,20111004,,End Of Day (from Real-Time),68.49,69.57,66.88,69.54,2060892
UTX.N,20111005,,End Of Day (from Real-Time),69.5,69.94,68.8,69.61,1595438
UTX.N,20111006,,End Of Day (from Real-Time),69.78,71.03,69.18,70.98,1235814
UTX.N,20111007,,End Of Day (from Real-Time),71.56,72.37,70.9,71.46,1228746
UTX.N,20111010,,End Of Day (from Real-Time),72.6,73.75,72.46,73.75,823373
UTX.N,20111011,,End Of Day (from Real-Time),73.66,74.01,72.96,73.74,951752
UTX.N,20111012,,End Of Day (from Real-Time),74.12,74.99,73.85,74.24,1087336
UTX.N,20111013,,End Of Day (from Real-Time),74.55,74.59,72.4,73.54,1038232
UTX.N,20111014,,End Of Day (from Real-Time),74.54,74.84,73.99,74.64,797496
UTX.N,20111017,,End Of Day (from Real-Time),74.48,74.53,71.96,72.12,933965
UTX.N,20111018,,End Of Day (from Real-Time),72.33,74.91,71.7,74.12,1186338
UTX.N,20111019,,End Of Day (from Real-Time),73.5,74.76,72.5,73.26,1042828
UTX.N,20111020,,End Of Day (from Real-Time),73.54,74.63,72.59,74.25,1135549
UTX.N,20111021,,End Of Day (from Real-Time),74.92,75.83,74.53,75.56,2061976
UTX.N,20111024,,End Of Day (from Real-Time),76,76.91,75.79,76.65,1115639
UTX.N,20111025,,End Of Day (from Real-Time),75.38,76.34,74.96,75.28,1124034
UTX.N,20111026,,End Of Day (from Real-Time),76.52,76.85,75.03,76.06,1295827
UTX.N,20111027,,End Of Day (from Real-Time),78,79.96,77.98,79.3,1838863
UTX.N,20111028,,End Of Day (from Real-Time),78.99,79.92,78.99,79.51,975700
UTX.N,20111031,,End Of Day (from Real-Time),78.91,79.15,77.98,77.98,1095582
UTX.N,20111101,,End Of Day (from Real-Time),76,76.1,74.38,75.19,1465136
UTX.N,20111102,,End Of Day (from Real-Time),76.43,77.37,76.17,76.91,1191480
UTX.N,20111103,,End Of Day (from Real-Time),77.9,78.64,77.16,78.44,1057029
UTX.N,20111104,,End Of Day (from Real-Time),78.02,78.02,76.53,77.8,998558
UTX.N,20111107,,End Of Day (from Real-Time),78.06,78.34,76.87,78.34,761013
UTX.N,20111108,,End Of Day (from Real-Time),78.73,78.99,77.91,78.87,865376
UTX.N,20111109,,End Of Day (from Real-Time),77.3,77.62,76,76.44,1114489
UTX.N,20111110,,End Of Day (from Real-Time),77.29,78.12,76.87,77.47,811624
UTX.N,20111111,,End Of Day (from Real-Time),78.92,80.35,78.84,79.83,970169
UTX.N,20111114,,End Of Day (from Real-Time),79.46,79.7,78.69,79.05,692892
UTX.N,20111115,,End Of Day (from Real-Time),78.81,79.79,78.14,79.33,908322
UTX.N,20111116,,End Of Day (from Real-Time),77.75,78.9,77.35,77.45,1227003
UTX.N,20111117,,End Of Day (from Real-Time),77.2,77.4,74.94,75.69,1154020
UTX.N,20111118,,End Of Day (from Real-Time),76.11,76.41,75.27,76.11,1385260
UTX.N,20111121,,End Of Day (from Real-Time),74.62,74.82,72.84,74.07,1137114
UTX.N,20111122,,End Of Day (from Real-Time),73.75,73.89,72.54,73.05,949261
UTX.N,20111123,,End Of Day (from Real-Time),72.02,72.43,70.97,70.97,1523806
UTX.N,20111125,,End Of Day (from Real-Time),70.9,72,70.63,71.04,579241
UTX.N,20111128,,End Of Day (from Real-Time),72.78,73.57,72.6,73.14,1382192
UTX.N,20111129,,End Of Day (from Real-Time),73.49,73.88,72.95,72.98,1192884
UTX.N,20111130,,End Of Day (from Real-Time),75.62,76.91,75.54,76.6,2125777
UTX.N,20111201,,End Of Day (from Real-Time),76.37,77.15,76.28,76.58,825209
UTX.N,20111202,,End Of Day (from Real-Time),77.77,78.29,76.45,76.54,1281197
UTX.N,20111205,,End Of Day (from Real-Time),78,78.1,76.04,76.64,1182229
UTX.N,20111206,,End Of Day (from Real-Time),76.97,77,76.13,76.31,742889
UTX.N,20111207,,End Of Day (from Real-Time),75.78,76.62,74.7,76.25,1038859
UTX.N,20111208,,End Of Day (from Real-Time),75.91,76.09,74.09,74.37,1087959
UTX.N,20111209,,End Of Day (from Real-Time),74.59,76.55,74.59,76.31,1099932
UTX.N,20111212,,End Of Day (from Real-Time),75.56,75.66,74.15,74.48,1370887
UTX.N,20111213,,End Of Day (from Real-Time),75,75.96,73.76,74.2,1256298
UTX.N,20111214,,End Of Day (from Real-Time),74,74.2,72.75,73.17,1259648
UTX.N,20111215,,End Of Day (from Real-Time),73.57,74.02,72.94,73.53,1013471
UTX.N,20111216,,End Of Day (from Real-Time),73.55,74.3,71.87,72.39,4804054
UTX.N,20111219,,End Of Day (from Real-Time),72.61,73.26,71.6,71.75,1050416
UTX.N,20111220,,End Of Day (from Real-Time),72.88,74.64,72.88,74.4,1025359
UTX.N,20111221,,End Of Day (from Real-Time),74.76,74.91,72.86,73.62,1914988
UTX.N,20111222,,End Of Day (from Real-Time),73.72,73.83,72.94,73.51,2046892
UTX.N,20111223,,End Of Day (from Real-Time),73.74,74.24,73.26,74.18,596437
UTX.N,20111227,,End Of Day (from Real-Time),73.97,74.56,73.79,74.03,592944
UTX.N,20111228,,End Of Day (from Real-Time),73.83,74.07,72.95,73.13,721325
UTX.N,20111229,,End Of Day (from Real-Time),72.56,73.87,72.5,73.82,722016
UTX.N,20111230,,End Of Day (from Real-Time),73.86,73.97,73.08,73.09,858491
UTX.N,20120103,,End Of Day (from Real-Time),75.09,75.64,74.51,74.66,1406994
UTX.N,20120104,,End Of Day (from Real-Time),74.16,75.24,74.13,75.05,1242270
UTX.N,20120105,,End Of Day (from Real-Time),74.49,74.72,73.67,74.33,860785
UTX.N,20120106,,End Of Day (from Real-Time),74.26,74.5,73.63,73.9,655527
UTX.N,20120109,,End Of Day (from Real-Time),74.26,74.5,73.76,74.1,904824
UTX.N,20120110,,End Of Day (from Real-Time),75.05,76.35,75.05,76.03,1053514
UTX.N,20120111,,End Of Day (from Real-Time),75.5,76.94,75.5,76.7,909099
UTX.N,20120112,,End Of Day (from Real-Time),77.17,77.5,76.51,77.24,834157
UTX.N,20120113,,End Of Day (from Real-Time),76.55,76.58,75.81,76.08,1012189
UTX.N,20120117,,End Of Day (from Real-Time),77.38,78.22,76.99,77.04,1122142
UTX.N,20120118,,End Of Day (from Real-Time),76.7,77.85,76.57,77.6,760724
UTX.N,20120119,,End Of Day (from Real-Time),77.45,77.85,77.07,77.19,1053052
UTX.N,20120120,,End Of Day (from Real-Time),76.3,77.77,75.7,76.69,2241838
UTX.N,20120123,,End Of Day (from Real-Time),76.66,77.54,76.57,76.86,1012081
UTX.N,20120124,,End Of Day (from Real-Time),76.87,77.8,76.52,77.78,1145200
UTX.N,20120125,,End Of Day (from Real-Time),76.8,78.66,75.85,77.65,1836249
UTX.N,20120126,,End Of Day (from Real-Time),78.22,78.63,77.02,77.41,938986
UTX.N,20120127,,End Of Day (from Real-Time),77.06,77.84,76.92,77.62,1172787
UTX.N,20120130,,End Of Day (from Real-Time),76.79,77.63,76.43,77.61,1036661
UTX.N,20120131,,End Of Day (from Real-Time),78,78.75,77.64,78.35,1688243
UTX.N,20120201,,End Of Day (from Real-Time),79,80.37,78.99,80.22,1603855
UTX.N,20120202,,End Of Day (from Real-Time),80.4,80.63,79.81,80.02,977808
UTX.N,20120203,,End Of Day (from Real-Time),80.89,81.49,80.8,81.05,1105119
UTX.N,20120206,,End Of Day (from Real-Time),80.6,80.79,80.12,80.57,805193
UTX.N,20120207,,End Of Day (from Real-Time),80.24,80.46,79.67,80.28,553620
UTX.N,20120208,,End Of Day (from Real-Time),80.49,81.85,79.77,81.74,1511092
UTX.N,20120209,,End Of Day (from Real-Time),82.55,84.3,82.55,83.78,1709156
UTX.N,20120210,,End Of Day (from Real-Time),82.84,83.5,82.65,83.5,888916
UTX.N,20120213,,End Of Day (from Real-Time),84.22,85.19,84.08,84.88,1279027
UTX.N,20120214,,End Of Day (from Real-Time),84.46,84.65,83.97,84.64,665263
UTX.N,20120215,,End Of Day (from Real-Time),84.38,84.67,82.48,82.6,1295688
UTX.N,20120216,,End Of Day (from Real-Time),82.5,83.33,82.49,83.22,689951
UTX.N,20120217,,End Of Day (from Real-Time),83.92,84.19,83.48,83.78,1456220
UTX.N,20120221,,End Of Day (from Real-Time),84.61,84.61,83.27,83.96,1116922
UTX.N,20120222,,End Of Day (from Real-Time),83.94,84.29,83.44,83.95,939733
UTX.N,20120223,,End Of Day (from Real-Time),84.2,84.63,83.01,83.49,1176664
UTX.N,20120224,,End Of Day (from Real-Time),83.69,84.53,83.6,83.97,676804
UTX.N,20120227,,End Of Day (from Real-Time),83.31,84.12,82.83,83.63,666838
UTX.N,20120228,,End Of Day (from Real-Time),83.73,83.79,83.11,83.47,749434
UTX.N,20120229,,End Of Day (from Real-Time),83.8,84.3,83.53,83.87,1239503
UTX.N,20120301,,End Of Day (from Real-Time),83.98,84.44,83.67,84.16,849982
UTX.N,20120302,,End Of Day (from Real-Time),83.92,84.64,83.92,84.54,752780
UTX.N,20120305,,End Of Day (from Real-Time),84.14,84.15,82.86,83.29,767860
UTX.N,20120306,,End Of Day (from Real-Time),82.61,82.67,81.04,81.39,1202280
UTX.N,20120307,,End Of Day (from Real-Time),81.94,82.87,81.72,82.57,1064820
UTX.N,20120308,,End Of Day (from Real-Time),83.64,83.99,83.01,83.53,691718
UTX.N,20120309,,End Of Day (from Real-Time),83.61,83.91,83.23,83.55,609645
UTX.N,20120312,,End Of Day (from Real-Time),83.81,84.23,83.7,83.99,880514
UTX.N,20120313,,End Of Day (from Real-Time),84.55,86.73,84.08,86.57,2025309
UTX.N,20120314,,End Of Day (from Real-Time),86.35,86.9,85.86,86.81,1144878
UTX.N,20120315,,End Of Day (from Real-Time),87,87.5,85.91,86.89,1498915
UTX.N,20120316,,End Of Day (from Real-Time),87.2,87.33,85.24,85.48,3826017
UTX.N,20120319,,End Of Day (from Real-Time),85.4,85.52,84.56,84.62,1049573
UTX.N,20120320,,End Of Day (from Real-Time),83.87,84.09,83.08,83.26,1326726
UTX.N,20120321,,End Of Day (from Real-Time),83.51,83.51,82.42,82.72,978071
UTX.N,20120322,,End Of Day (from Real-Time),82.05,82.41,81.54,82.07,1116682
UTX.N,20120323,,End Of Day (from Real-Time),82,82.29,81.53,81.8,1006047
UTX.N,20120326,,End Of Day (from Real-Time),82.68,83.51,82.61,83.5,967776
UTX.N,20120327,,End Of Day (from Real-Time),83.41,83.5,82.9,83.11,1119096
UTX.N,20120328,,End Of Day (from Real-Time),83.02,83.07,81.13,81.52,1304679
UTX.N,20120329,,End Of Day (from Real-Time),81.1,82.38,81.1,82.32,946810
UTX.N,20120330,,End Of Day (from Real-Time),82.95,83.13,82.28,82.94,1122977
UTX.N,20120402,,End Of Day (from Real-Time),82.41,83.54,81.91,82.73,893957
UTX.N,20120403,,End Of Day (from Real-Time),82.55,83.11,81.77,82.2,817314
UTX.N,20120404,,End Of Day (from Real-Time),81.52,82.08,81.42,81.92,681179
UTX.N,20120405,,End Of Day (from Real-Time),81.55,82.16,81.39,81.6,628026
UTX.N,20120409,,End Of Day (from Real-Time),80.52,80.6,79.96,80.23,859578
UTX.N,20120410,,End Of Day (from Real-Time),79.81,80.05,78.35,78.48,1096112
UTX.N,20120411,,End Of Day (from Real-Time),79.46,80.03,79.15,79.63,981612
UTX.N,20120412,,End Of Day (from Real-Time),79.87,81.45,79.73,81.17,795608
UTX.N,20120413,,End Of Day (from Real-Time),80.57,80.91,79.74,79.8,1235403
UTX.N,20120416,,End Of Day (from Real-Time),80.2,80.95,79.61,79.88,739175
UTX.N,20120417,,End Of Day (from Real-Time),80.36,81.6,80.12,81.24,800847
UTX.N,20120418,,End Of Day (from Real-Time),80.96,81.44,80.86,81.2,689822
UTX.N,20120419,,End Of Day (from Real-Time),81.09,81.57,80.01,80.4,662418
UTX.N,20120420,,End Of Day (from Real-Time),80.72,81.53,80.64,81,1479682
UTX.N,20120423,,End Of Day (from Real-Time),80.16,80.25,79.4,79.75,1592819
UTX.N,20120424,,End Of Day (from Real-Time),80,80.72,79.26,79.85,804014
UTX.N,20120425,,End Of Day (from Real-Time),80.68,81.08,79.34,79.81,878328
UTX.N,20120426,,End Of Day (from Real-Time),79.89,81.36,79.55,81.25,715187
UTX.N,20120427,,End Of Day (from Real-Time),81.6,82.1,81.46,82,727953
UTX.N,20120430,,End Of Day (from Real-Time),82.02,82.45,81.33,81.64,763490
UTX.N,20120501,,End Of Day (from Real-Time),81.48,82.24,80.67,81.43,669962
UTX.N,20120502,,End Of Day (from Real-Time),81.08,81.67,80.87,81.55,547011
UTX.N,20120503,,End Of Day (from Real-Time),81.42,81.66,80.54,80.91,498141
UTX.N,20120504,,End Of Day (from Real-Time),80.59,80.72,79.3,79.48,689279
UTX.N,20120507,,End Of Day (from Real-Time),79,79.42,78.82,78.91,844485
UTX.N,20120508,,End Of Day (from Real-Time),78.52,78.99,77.7,78.82,863367
UTX.N,20120509,,End Of Day (from Real-Time),77.55,77.9,76.77,77.01,1054556
UTX.N,20120510,,End Of Day (from Real-Time),77.42,77.91,77.08,77.29,911262
UTX.N,20120511,,End Of Day (from Real-Time),76.9,78.02,76.73,77.18,772058
UTX.N,20120514,,End Of Day (from Real-Time),76.21,76.6,75.69,75.95,1018643
UTX.N,20120515,,End Of Day (from Real-Time),75.75,77.05,75.61,76.17,956834
UTX.N,20120516,,End Of Day (from Real-Time),76.04,76.21,74.61,74.7,921509
UTX.N,20120517,,End Of Day (from Real-Time),74.66,74.66,73.28,73.33,860054
UTX.N,20120518,,End Of Day (from Real-Time),73.6,73.6,72.14,72.38,2116839
UTX.N,20120521,,End Of Day (from Real-Time),72.52,73.75,72.52,73.7,879411
UTX.N,20120522,,End Of Day (from Real-Time),73.96,74.8,73.59,73.94,1265057
UTX.N,20120523,,End Of Day (from Real-Time),73.43,74.24,72.45,74.06,1078530
UTX.N,20120524,,End Of Day (from Real-Time),74.08,74.16,72.6,73.5,931849
UTX.N,20120525,,End Of Day (from Real-Time),73.65,73.83,72.78,73.02,577991
UTX.N,20120529,,End Of Day (from Real-Time),73.7,75.13,73.47,75.09,1631972
UTX.N,20120530,,End Of Day (from Real-Time),74.33,74.54,73.63,73.74,843596
UTX.N,20120531,,End Of Day (from Real-Time),74.1,74.75,73.76,74.11,1154730
UTX.N,20120601,,End Of Day (from Real-Time),72.76,73.26,71.79,72.02,1159071
UTX.N,20120604,,End Of Day (from Real-Time),71.92,72.05,70.8,71.45,937261
UTX.N,20120605,,End Of Day (from Real-Time),71.25,71.35,70.72,70.88,877100
UTX.N,20120606,,End Of Day (from Real-Time),71.6,73.66,71.5,73.64,1003554
UTX.N,20120607,,End Of Day (from Real-Time),75.11,76.08,74.76,75.4,1716768
UTX.N,20120608,,End Of Day (from Real-Time),75.36,75.73,74.92,75.5,704340
UTX.N,20120611,,End Of Day (from Real-Time),76.24,76.38,74.51,74.62,698399
UTX.N,20120612,,End Of Day (from Real-Time),74,74.59,73.75,74.35,1741990
UTX.N,20120613,,End Of Day (from Real-Time),74.35,74.45,72.97,73.54,1358703
UTX.N,20120614,,End Of Day (from Real-Time),73.59,74.73,73.53,74.14,1199508
UTX.N,20120615,,End Of Day (from Real-Time),74.22,74.5,73.64,74.49,2748545
UTX.N,20120618,,End Of Day (from Real-Time),74.27,75.24,74.01,75,803847
UTX.N,20120619,,End Of Day (from Real-Time),75.7,77,75.64,76.4,1285448
UTX.N,20120620,,End Of Day (from Real-Time),76.46,76.65,75.45,75.91,812219
UTX.N,20120621,,End Of Day (from Real-Time),76.74,76.74,74.75,74.82,961925
UTX.N,20120622,,End Of Day (from Real-Time),75.16,75.48,74.81,75.2,1342277
UTX.N,20120625,,End Of Day (from Real-Time),74.32,74.45,73.58,73.75,779971
UTX.N,20120626,,End Of Day (from Real-Time),73.81,73.94,72.83,73.63,809981
UTX.N,20120627,,End Of Day (from Real-Time),73.82,74.26,73.8,74.16,597210
UTX.N,20120628,,End Of Day (from Real-Time),73.59,73.59,71.86,72.6,1363714
UTX.N,20120629,,End Of Day (from Real-Time),74.09,75.57,73.92,75.53,1556813
UTX.N,20120702,,End Of Day (from Real-Time),75.66,76.13,74.52,75.04,902799
UTX.N,20120703,,End Of Day (from Real-Time),74.85,75.94,74.78,75.75,388560
UTX.N,20120705,,End Of Day (from Real-Time),75.59,75.91,75.16,75.39,542417
UTX.N,20120706,,End Of Day (from Real-Time),74.72,74.76,73.38,74.09,994571
UTX.N,20120709,,End Of Day (from Real-Time),73.97,74.61,73.76,74.33,749889
UTX.N,20120710,,End Of Day (from Real-Time),75.5,75.76,73.62,74.15,1043969
UTX.N,20120711,,End Of Day (from Real-Time),73.75,74.04,72.26,72.51,1107784
UTX.N,20120712,,End Of Day (from Real-Time),72,72.39,70.95,71.84,865068
UTX.N,20120713,,End Of Day (from Real-Time),71.94,73.66,71.94,73.59,917873
UTX.N,20120716,,End Of Day (from Real-Time),73.23,73.57,72.31,73.21,665698
UTX.N,20120717,,End Of Day (from Real-Time),73.54,74.3,72.35,73.6,816151
UTX.N,20120718,,End Of Day (from Real-Time),73.67,75.17,73.13,74.85,807452
UTX.N,20120719,,End Of Day (from Real-Time),74.92,75.99,74.52,75.82,856077
UTX.N,20120720,,End Of Day (from Real-Time),75.13,75.45,74.12,74.23,1579108
UTX.N,20120723,,End Of Day (from Real-Time),72.91,73.69,72.05,73.28,718088
UTX.N,20120724,,End Of Day (from Real-Time),73.1,73.28,71.4,71.94,858850
UTX.N,20120725,,End Of Day (from Real-Time),72.65,73.24,71.91,72.61,943905
UTX.N,20120726,,End Of Day (from Real-Time),73.1,75.31,72.34,72.93,1810752
UTX.N,20120727,,End Of Day (from Real-Time),73.5,74.98,72.65,74.28,1349573
UTX.N,20120730,,End Of Day (from Real-Time),74.53,75.58,74.29,74.97,951854
UTX.N,20120731,,End Of Day (from Real-Time),74.47,75,74.29,74.44,1244788
UTX.N,20120801,,End Of Day (from Real-Time),74.99,75.37,74.43,74.79,1378640
UTX.N,20120802,,End Of Day (from Real-Time),74.45,74.79,73.14,74.44,1162864
UTX.N,20120803,,End Of Day (from Real-Time),75.73,77.24,75.7,76.81,1221430
UTX.N,20120806,,End Of Day (from Real-Time),77.04,77.65,76.63,76.65,757599
UTX.N,20120807,,End Of Day (from Real-Time),77.2,78.51,77.13,78.12,1001063
UTX.N,20120808,,End Of Day (from Real-Time),78.14,78.44,77.24,77.48,808897
UTX.N,20120809,,End Of Day (from Real-Time),77.46,77.53,76.33,77.03,539848
UTX.N,20120810,,End Of Day (from Real-Time),76.72,77.92,76.49,77.89,838446
UTX.N,20120813,,End Of Day (from Real-Time),77.72,77.84,76.86,77.47,553776
UTX.N,20120814,,End Of Day (from Real-Time),77.61,78.23,77.44,77.78,737476
UTX.N,20120815,,End Of Day (from Real-Time),77.28,78.16,77.08,77.99,625321
UTX.N,20120816,,End Of Day (from Real-Time),77.97,79.11,77.63,78.77,798775
UTX.N,20120817,,End Of Day (from Real-Time),79.23,80.4,79,80.37,1705906
UTX.N,20120820,,End Of Day (from Real-Time),80.38,81.18,79.79,80.08,1422406
UTX.N,20120821,,End Of Day (from Real-Time),80.11,80.53,79.2,79.27,856759
UTX.N,20120822,,End Of Day (from Real-Time),79.05,79.95,79.05,79.66,899220
