#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
BA.N,20120207,,End Of Day (from Real-Time),75,75.33,74.3,75.2,1066232
BA.N,20120208,,End Of Day (from Real-Time),74.8,75.65,74.51,75.46,1576929
BA.N,20120209,,End Of Day (from Real-Time),75.76,76.23,75.37,75.9,922064
BA.N,20120210,,End Of Day (from Real-Time),75.38,75.56,74.57,74.95,690763
BA.N,20120213,,End Of Day (from Real-Time),75.46,75.5,74.75,74.85,770523
BA.N,20120214,,End Of Day (from Real-Time),75.29,75.57,74.91,75.56,816828
BA.N,20120215,,End Of Day (from Real-Time),75.78,76,75.01,75.21,871713
BA.N,20120216,,End Of Day (from Real-Time),75.01,75.47,74.88,75.27,829613
BA.N,20120217,,End Of Day (from Real-Time),75.54,75.55,75.03,75.35,1206992
BA.N,20120221,,End Of Day (from Real-Time),75.58,75.95,75.09,75.72,870358
BA.N,20120222,,End Of Day (from Real-Time),75.44,76.3,75.31,76.06,722093
BA.N,20120223,,End Of Day (from Real-Time),75.9,76.16,75.53,75.85,860436
BA.N,20120224,,End Of Day (from Real-Time),75.66,76.64,75.63,76.06,672170
BA.N,20120227,,End Of Day (from Real-Time),75.61,75.78,75.02,75.21,853337
BA.N,20120228,,End Of Day (from Real-Time),75.06,75.38,74.81,75.16,751784
BA.N,20120229,,End Of Day (from Real-Time),75.23,75.72,74.76,74.95,1314142
BA.N,20120301,,End Of Day (from Real-Time),75.08,75.63,74.86,75.08,739463
BA.N,20120302,,End Of Day (from Real-Time),75.15,75.26,74.64,74.9,616337
BA.N,20120305,,End Of Day (from Real-Time),74.95,74.97,73.93,74.13,771355
BA.N,20120306,,End Of Day (from Real-Time),73,73.05,72.3,72.56,1124020
BA.N,20120307,,End Of Day (from Real-Time),72.58,73.7,72.55,73.52,1282122
BA.N,20120308,,End Of Day (from Real-Time),74.4,74.7,73.83,74.17,1064967
BA.N,20120309,,End Of Day (from Real-Time),74.12,74.31,73.17,73.29,1046334
BA.N,20120312,,End Of Day (from Real-Time),73.28,74.03,73.22,73.6,829309
BA.N,20120313,,End Of Day (from Real-Time),73.87,74.35,73.4,74.31,1265129
BA.N,20120314,,End Of Day (from Real-Time),74.32,75.38,74.32,75.23,1016170
BA.N,20120315,,End Of Day (from Real-Time),75.56,75.63,74.88,75.43,1184665
BA.N,20120316,,End Of Day (from Real-Time),75.81,75.81,75.01,75.2,3736157
BA.N,20120319,,End Of Day (from Real-Time),75,75.69,75,75.4,750299
BA.N,20120320,,End Of Day (from Real-Time),75.02,75.47,74.52,75.14,1133256
BA.N,20120321,,End Of Day (from Real-Time),75.14,75.44,74.8,75.01,737046
BA.N,20120322,,End Of Day (from Real-Time),74.66,74.66,73.37,73.92,870961
BA.N,20120323,,End Of Day (from Real-Time),73.99,74.32,73.77,73.97,599310
BA.N,20120326,,End Of Day (from Real-Time),74.55,75.23,74.5,75.18,1002264
BA.N,20120327,,End Of Day (from Real-Time),75.06,75.25,74.8,74.81,691317
BA.N,20120328,,End Of Day (from Real-Time),74.91,75.29,73.91,74.33,795446
BA.N,20120329,,End Of Day (from Real-Time),73.84,74.15,72.95,74.08,913498
BA.N,20120330,,End Of Day (from Real-Time),74.36,74.43,73.78,74.37,975967
BA.N,20120402,,End Of Day (from Real-Time),74,75.47,73.61,75.17,972387
BA.N,20120403,,End Of Day (from Real-Time),74.97,75.11,74.15,74.65,752724
BA.N,20120404,,End Of Day (from Real-Time),74.01,74.19,73.49,73.67,656723
BA.N,20120405,,End Of Day (from Real-Time),73.5,73.88,73.3,73.59,672093
BA.N,20120409,,End Of Day (from Real-Time),72.71,72.78,72.27,72.43,630896
BA.N,20120410,,End Of Day (from Real-Time),72.2,72.3,70.6,70.6,1105507
BA.N,20120411,,End Of Day (from Real-Time),71.6,72.5,71.55,71.77,1027874
BA.N,20120412,,End Of Day (from Real-Time),71.83,73.82,71.82,73.5,862639
BA.N,20120413,,End Of Day (from Real-Time),73.27,73.37,72.37,72.92,882806
BA.N,20120416,,End Of Day (from Real-Time),73.02,73.11,72.3,72.68,1468997
BA.N,20120417,,End Of Day (from Real-Time),73.13,74.36,73.11,74.09,766394
BA.N,20120418,,End Of Day (from Real-Time),73.68,74.24,73.57,73.71,504405
BA.N,20120419,,End Of Day (from Real-Time),73.72,73.95,72.68,73.1,1342200
BA.N,20120420,,End Of Day (from Real-Time),73.5,74.02,73.12,73.55,1448933
BA.N,20120423,,End Of Day (from Real-Time),72.74,73.12,72.17,72.86,993195
BA.N,20120424,,End Of Day (from Real-Time),73.23,73.74,72.77,73.21,862531
BA.N,20120425,,End Of Day (from Real-Time),75,77.5,74.9,77.08,2053157
BA.N,20120426,,End Of Day (from Real-Time),76.66,77.2,76.55,76.99,990616
BA.N,20120427,,End Of Day (from Real-Time),77.28,77.57,76.9,77.27,855260
BA.N,20120430,,End Of Day (from Real-Time),76.68,76.87,75.68,76.8,1769096
BA.N,20120501,,End Of Day (from Real-Time),76.52,77.83,75.85,77.25,1036361
BA.N,20120502,,End Of Day (from Real-Time),76.77,77.49,76.34,77.26,708420
BA.N,20120503,,End Of Day (from Real-Time),77.13,77.33,76.52,76.83,837684
BA.N,20120504,,End Of Day (from Real-Time),76.46,76.56,75.5,75.84,831371
BA.N,20120507,,End Of Day (from Real-Time),75.83,76.08,75.37,75.96,635843
BA.N,20120508,,End Of Day (from Real-Time),75.48,75.58,74.56,75.4,1018672
BA.N,20120509,,End Of Day (from Real-Time),74.15,74.84,73.32,74.05,1065041
BA.N,20120510,,End Of Day (from Real-Time),74.69,75.07,73.63,73.8,690887
BA.N,20120511,,End Of Day (from Real-Time),73.58,74.11,73.27,73.56,798966
BA.N,20120514,,End Of Day (from Real-Time),73,73.77,72.37,73.12,869264
BA.N,20120515,,End Of Day (from Real-Time),73,73.67,72.43,72.58,736999
BA.N,20120516,,End Of Day (from Real-Time),72.89,73.51,72.29,72.35,998736
BA.N,20120517,,End Of Day (from Real-Time),72.31,72.39,69.46,69.73,1589012
BA.N,20120518,,End Of Day (from Real-Time),70.05,70.33,68.93,69.15,1947713
BA.N,20120521,,End Of Day (from Real-Time),70.54,71.84,70.14,71.78,1058539
BA.N,20120522,,End Of Day (from Real-Time),71.67,72.21,71.08,71.48,907404
BA.N,20120523,,End Of Day (from Real-Time),70.99,71.62,69.93,71.57,1354552
BA.N,20120524,,End Of Day (from Real-Time),71.7,71.7,70.25,71.39,658920
BA.N,20120525,,End Of Day (from Real-Time),71.24,71.34,69.67,70,1082131
BA.N,20120529,,End Of Day (from Real-Time),70.21,70.5,69.75,70.4,1184873
BA.N,20120530,,End Of Day (from Real-Time),69.76,70.08,69.25,69.39,1521210
BA.N,20120531,,End Of Day (from Real-Time),69.44,70.1,69.08,69.61,1140999
BA.N,20120601,,End Of Day (from Real-Time),68.75,68.87,67.15,67.24,1346070
BA.N,20120604,,End Of Day (from Real-Time),68.05,68.08,67.06,67.5,1144985
BA.N,20120605,,End Of Day (from Real-Time),67.31,67.7,66.84,67.58,779347
BA.N,20120606,,End Of Day (from Real-Time),68.08,69.02,67.96,69.02,943143
BA.N,20120607,,End Of Day (from Real-Time),69.9,70.32,69.43,69.95,871311
BA.N,20120608,,End Of Day (from Real-Time),69.71,69.96,69.29,69.94,1136672
BA.N,20120611,,End Of Day (from Real-Time),70.64,70.8,69.8,70.11,1025174
BA.N,20120612,,End Of Day (from Real-Time),71.02,72.81,70.76,72.58,1391490
BA.N,20120613,,End Of Day (from Real-Time),72.4,72.7,71.58,72.06,1024432
BA.N,20120614,,End Of Day (from Real-Time),72.08,72.3,71.4,71.85,1174448
