#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
AA.N,20120209,,End Of Day (from Real-Time),10.73,10.77,10.53,10.64,2128161
AA.N,20120210,,End Of Day (from Real-Time),10.44,10.44,10.22,10.29,3216311
AA.N,20120213,,End Of Day (from Real-Time),10.42,10.45,10.29,10.33,2757366
AA.N,20120214,,End Of Day (from Real-Time),10.26,10.27,10.1,10.21,2599223
AA.N,20120215,,End Of Day (from Real-Time),10.29,10.29,10.1,10.1,2930760
AA.N,20120216,,End Of Day (from Real-Time),10.1,10.3,10.03,10.28,2281696
AA.N,20120217,,End Of Day (from Real-Time),10.38,10.39,10.1,10.15,3071331
AA.N,20120221,,End Of Day (from Real-Time),10.26,10.5,10.21,10.41,5998674
AA.N,20120222,,End Of Day (from Real-Time),10.43,10.48,10.28,10.38,3329539
AA.N,20120223,,End Of Day (from Real-Time),10.39,10.48,10.31,10.46,2385052
AA.N,20120224,,End Of Day (from Real-Time),10.45,10.57,10.41,10.43,1830791
AA.N,20120227,,End Of Day (from Real-Time),10.39,10.4,10.26,10.32,2209158
AA.N,20120228,,End Of Day (from Real-Time),10.33,10.44,10.3,10.37,2094302
AA.N,20120229,,End Of Day (from Real-Time),10.38,10.49,10.15,10.17,3150635
AA.N,20120301,,End Of Day (from Real-Time),10.23,10.3,10.17,10.27,2748004
AA.N,20120302,,End Of Day (from Real-Time),10.25,10.32,10.18,10.24,2956217
AA.N,20120305,,End Of Day (from Real-Time),10.16,10.16,9.83,9.87,3479605
AA.N,20120306,,End Of Day (from Real-Time),9.64,9.67,9.46,9.47,4716672
AA.N,20120307,,End Of Day (from Real-Time),9.55,9.6,9.45,9.55,4028511
AA.N,20120308,,End Of Day (from Real-Time),9.69,9.83,9.58,9.77,2272779
AA.N,20120309,,End Of Day (from Real-Time),9.81,9.98,9.76,9.81,3202076
AA.N,20120312,,End Of Day (from Real-Time),9.82,9.96,9.81,9.87,3302219
AA.N,20120313,,End Of Day (from Real-Time),9.98,10.36,9.95,10.31,4400817
AA.N,20120314,,End Of Day (from Real-Time),10.34,10.38,10.21,10.28,3873422
AA.N,20120315,,End Of Day (from Real-Time),10.28,10.38,10.18,10.35,2842208
AA.N,20120316,,End Of Day (from Real-Time),10.4,10.61,10.38,10.54,7496462
AA.N,20120319,,End Of Day (from Real-Time),10.53,10.75,10.53,10.6,2687223
AA.N,20120320,,End Of Day (from Real-Time),10.45,10.5,10.28,10.44,2928292
AA.N,20120321,,End Of Day (from Real-Time),10.44,10.44,10.25,10.27,2123753
AA.N,20120322,,End Of Day (from Real-Time),10.14,10.19,9.95,10.02,4289774
AA.N,20120323,,End Of Day (from Real-Time),10,10.26,9.96,10.11,3088673
AA.N,20120326,,End Of Day (from Real-Time),10.26,10.3,10.13,10.22,2120959
AA.N,20120327,,End Of Day (from Real-Time),10.25,10.31,10.06,10.06,3012143
AA.N,20120328,,End Of Day (from Real-Time),10.04,10.05,9.79,9.83,3669159
