"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
117.68,119.63,117.67,119.58,230666300,112.38
118.87,120.04,118.75,119.7,209088000,112.49
120.6,122.14,120.33,120.75,281544900,113.48
120.04,120.87,119.12,120.51,212538800,113.25
121.91,122.6,121.23,122.57,211397600,115.19
121.99,122.55,119.93,120.23,202311600,112.99
120.14,123.5,119.2,122.58,318857900,115.2
122.38,123.08,120.71,121.13,226601300,113.84
121.43,122.1,119.82,121.66,262075600,114.34
123.09,124.12,122.72,123.97,278999400,116.51
124.17,125.8,124.06,125.49,203215600,117.93
124.89,124.95,122.78,123.05,268596800,115.64
124.35,124.77,122.21,124.3,289053800,116.82
127.63,129.42,126.61,128.63,393220200,120.89
128,128.85,127.8,128.6,225906500,120.86
127.16,128.62,125.32,125.5,228146700,117.94
122.03,123.51,121.52,122,416565800,114.65
123.83,124.4,122.79,123.99,244717600,116.53
125.27,126.5,123.6,126.25,291174800,118.65
125.23,125.7,124.01,125.48,249401600,117.93
125.39,126.39,124.2,126.26,196617200,118.66
126.92,128.02,125.71,127.88,224426300,120.18
124.89,125.8,122.86,123.16,337982000,115.75
124.79,124.94,123.02,124.32,231866500,116.84
125.83,126.99,125.79,126.66,189924400,119.03
126.19,127.45,124.92,125.46,159258300,117.91
125.17,126.75,124.72,126.08,184709400,118.49
124.81,126.34,123.9,124.08,235782500,116.61
123.85,124.16,121.23,122.11,331219600,114.76
122.5,122.75,121.47,121.98,215580400,114.64
120.2,120.35,118.65,119.66,229611600,112.46
119.4,120.1,118.52,119.19,216494900,112.01
118.07,119.19,116.56,116.56,224329100,109.54
116.38,117.7,116.2,116.34,99557000,109.34
119.54,120.18,118.82,119.71,210686000,112.5
120.05,121,119.61,120.05,199241500,112.82
123.49,125.22,120,124.99,324439500,117.46
124.85,125.64,124.43,124.97,176954800,117.45
126.12,126.5,124.78,124.86,221109700,117.34
126.84,127.18,125.44,126.22,225263900,118.62
126.21,127.11,125.76,126.26,178842100,118.66
125.84,127.26,124.97,126.73,237802500,119.1
125.9,126.18,123.65,123.95,240862800,116.49
124.51,126.37,124.4,126.05,209111400,118.46
124.95,124.97,123.16,124.21,215826100,116.73
124.86,125.57,122.45,123.05,245159800,115.64
122.56,123.03,121.47,121.74,238618800,114.41
123.03,123.2,121.99,122.18,199109200,114.82
122.23,122.95,121.3,121.59,220481400,114.99
122.06,122.32,120.03,120.29,183903000,113.76
122.18,124.14,120.37,123.93,225418100,117.21
123.93,124.36,122.75,124.17,194230900,117.43
124.63,125.4,124.23,125.27,119465400,118.47
125.67,126.43,125.41,126.39,92187200,119.53
126.17,126.82,126.06,126.49,86075700,119.63
126.51,126.53,124.73,124.83,119107100,118.06
125.24,126.25,124.86,126.12,123507200,119.28
126.02,126.33,125.5,125.5,95599000,118.69
127.76,128.38,127.43,127.5,193697900,120.58
127.2,127.81,126.71,127.7,127186500,120.77
127.01,128.23,126.43,128.04,173895000,121.09
128.2,128.22,127.29,127.71,148050000,120.78
128,128.18,127.41,128.02,99530200,121.08
129.39,129.65,128.95,129.13,115282000,122.13
128.73,129.37,128.52,129.2,111540700,122.19
129.57,129.7,128.54,129.51,118983700,122.48
128.64,129.05,127.72,128.84,179836200,121.85
130.08,130.32,128.9,129.34,132209200,122.32
129.31,130.84,129.08,130.77,163395200,123.68
131.22,131.57,130.8,131.46,126328900,124.33
131.24,131.95,130.92,131.95,138230200,124.79
131.51,132.25,130.98,131.61,129295800,124.47
130.8,131.5,130.6,131.46,103083300,124.33
131.26,132.87,130.75,132.56,198613200,125.37
133.15,133.4,131.36,131.88,184880500,124.73
131.24,132.05,131.15,131.82,135259100,124.67
130.51,131.44,130.06,131.37,147311800,124.24
132.02,132.18,130.68,131.32,157212000,124.2
132.29,133.14,132.13,132.47,166234500,125.28
