Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
CF Industries Holdings Inc,,CF.N,,,CF,CF Industries Holdings Inc
Charles Schwab,Financials,SCHW.N,,,SCHW,Charles Schwab
Chesapeake Energy,Energy,CHK.N,,,CHK,Chesapeake Energy
Chevron,Energy,CVX.N,,,CVX,Chevron Corp.
Chipotle Mexican Grill,,CMG.N,,,CMG,Chipotle Mexican Grill
Chubb,Financials,CB.N,,,CB,Chubb Corp.
CIGNA,Health Care,CI.N,,,CI,CIGNA Corp.
Cincinnati Financial,Financials,,CINF.O,,CINF,Cincinnati Financial
Cintas,Industrials,,CTAS.O,,CTAS,Cintas Corporation
Cisco Systems,Information Technology,,CSCO.O,,CSCO,Cisco Systems
Citigroup,Financials,C.N,,,C,Citigroup Inc.
Citrix Systems,Information Technology,,CTXS.O,,CTXS,Citrix Systems
Cliffs Natural Resources,,CLF.N,,,CLF,Cliffs Natural Resources
Clorox,Consumer Staples,CLX.N,,,CLX,The Clorox Company
CME Group,Financials,,CME.O,,CME,CME Group Inc.
CMS Energy,Utilities,CMS.N,,,CMS,CMS Energy
Coach,Consumer Discretionary,COH.N,,,COH,Coach Inc.
Coca-Cola,Consumer Staples,KO.N,,,KO,The Coca Cola Company
Coca-Cola Enterprises,Consumer Staples,CCE.N,,,CCE,Coca-Cola Enterprises
Cognizant Technology Solutions,Information Technology,,CTSH.O,,CTSH,Cognizant Technology Solutions
Colgate-Palmolive,Consumer Staples,CL.N,,,CL,Colgate-Palmolive
Comcast,Consumer Discretionary,,CMCSA.O,,CMCSA,Comcast Corp.
Comerica,Financials,CMA.N,,,CMA,Comerica Inc.
Computer Sciences,Information Technology,CSC.N,,,CSC,Computer Sciences Corp.
ConAgra Foods,Consumer Staples,CAG.N,,,CAG,ConAgra Foods Inc.
ConocoPhillips,Energy,COP.N,,,COP,ConocoPhillips
CONSOL Energy,Energy,CNX.N,,,CNX,CONSOL Energy Inc.
Consolidated Edison,Utilities,ED.N,,,ED,Consolidated Edison
Constellation Brands,Consumer Staples,STZ.N,,,STZ,Constellation Brands
Corning,Information Technology,GLW.N,,,GLW,Corning Inc.
Costco,Consumer Staples,,COST.O,,COST,Costco Co.
Covidien,Health Care,COV.N,,,COV,Covidien plc
Crown Castle International Corp.,,CCI.N,,,CCI,Crown Castle International Corp.
