ETFID,ETF,Ticker ID,Identifier
1,SPY,404,NWL
1,SPY,405,PLL
1,SPY,406,DGX
1,SPY,407,SNI
1,SPY,408,TSO
1,SPY,409,TSCO
1,SPY,410,UNM
1,SPY,411,VAR
1,SPY,412,WAT
1,SPY,413,WU
1,SPY,414,XL
1,SPY,415,ADT
1,SPY,416,ARG
1,SPY,417,CPB
1,SPY,418,CINF
1,SPY,419,CTAS
1,SPY,420,DHI
1,SPY,421,XRAY
1,SPY,422,DRI
1,SPY,423,ETFC
1,SPY,424,FMC
1,SPY,425,FDO
1,SPY,426,FTR
1,SPY,427,GCI
1,SPY,428,GRMN
1,SPY,429,GNW
1,SPY,430,GT
1,SPY,431,HAR
1,SPY,432,HRS
1,SPY,433,HAS
1,SPY,434,HRL
1,SPY,435,IFF
1,SPY,436,IPG
1,SPY,437,JEC
1,SPY,438,LEN
1,SPY,439,LUK
1,SPY,440,MLM
1,SPY,441,MWV
1,SPY,442,NAVI
1,SPY,443,NWSA
1,SPY,444,POM
1,SPY,445,PETM
1,SPY,446,PCL
1,SPY,447,PHM
1,SPY,448,PWR
1,SPY,449,RHI
1,SPY,450,SCG
1,SPY,451,SWY
1,SPY,452,SEE
1,SPY,453,SNA
1,SPY,454,SPLS
1,SPY,455,TDC
1,SPY,456,TMK
1,SPY,457,VRSN
1,SPY,458,VMC
1,SPY,459,WIN
1,SPY,460,XYL
1,SPY,461,GAS
1,SPY,462,ALLE
1,SPY,463,AIV
1,SPY,464,AIZ
1,SPY,465,AVP
1,SPY,466,DNR
1,SPY,467,DISCA
1,SPY,468,DNB
1,SPY,469,FSLR
1,SPY,470,FOSL
1,SPY,471,GME
1,SPY,472,HCBK
1,SPY,473,TEG
1,SPY,474,IRM
1,SPY,475,JOY
1,SPY,476,LM
1,SPY,477,LEG
1,SPY,478,NDAQ
1,SPY,479,NBR
1,SPY,480,NFX
1,SPY,481,NE
1,SPY,482,PBCT
1,SPY,483,PKI
1,SPY,484,PNW
1,SPY,485,PBI
1,SPY,486,QEP
1,SPY,487,R
1,SPY,488,THC
1,SPY,489,TSS
1,SPY,490,ZION
1,SPY,491,ATI
1,SPY,492,AN
1,SPY,493,AVY
1,SPY,494,BMS
1,SPY,495,CVC
1,SPY,496,FLIR
1,SPY,497,JBL
1,SPY,498,OI
1,SPY,499,PDCO
1,SPY,500,TE
1,SPY,501,URBN
1,SPY,502,DO
